REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE,REF_AREA_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,FREQ,OBS_STATUS,INDICATOR_LABEL
IRL,2010,WB_WDI_NY_GDP_MKTP_CD,2.22E+11,Ireland,USD,US dollars,A,A,GDP (current US$)
IMN,2010,WB_WDI_NY_GDP_MKTP_CD,5.92E+09,Isle of Man,USD,US dollars,A,A,GDP (current US$)
ISR,2010,WB_WDI_NY_GDP_MKTP_CD,2.40E+11,Israel,USD,US dollars,A,A,GDP (current US$)
ITA,2010,WB_WDI_NY_GDP_MKTP_CD,2.14E+12,Italy,USD,US dollars,A,A,GDP (current US$)
JAM,2010,WB_WDI_NY_GDP_MKTP_CD,1.32E+10,Jamaica,USD,US dollars,A,A,GDP (current US$)
JPN,2010,WB_WDI_NY_GDP_MKTP_CD,5.76E+12,Japan,USD,US dollars,A,A,GDP (current US$)
JOR,2010,WB_WDI_NY_GDP_MKTP_CD,2.71E+10,Jordan,USD,US dollars,A,A,GDP (current US$)
KAZ,2010,WB_WDI_NY_GDP_MKTP_CD,1.48E+11,Kazakhstan,USD,US dollars,A,A,GDP (current US$)
ISL,2012,WB_WDI_NY_GDP_MKTP_CD,1.49E+10,Iceland,USD,US dollars,A,A,GDP (current US$)
IND,2012,WB_WDI_NY_GDP_MKTP_CD,1.83E+12,India,USD,US dollars,A,A,GDP (current US$)
IDN,2012,WB_WDI_NY_GDP_MKTP_CD,9.18E+11,Indonesia,USD,US dollars,A,A,GDP (current US$)
IRN,2012,WB_WDI_NY_GDP_MKTP_CD,6.44E+11,"Iran, Islamic Rep.",USD,US dollars,A,A,GDP (current US$)
IRQ,2012,WB_WDI_NY_GDP_MKTP_CD,2.18E+11,Iraq,USD,US dollars,A,A,GDP (current US$)
IRL,2012,WB_WDI_NY_GDP_MKTP_CD,2.27E+11,Ireland,USD,US dollars,A,A,GDP (current US$)
IMN,2012,WB_WDI_NY_GDP_MKTP_CD,6.69E+09,Isle of Man,USD,US dollars,A,A,GDP (current US$)
ISR,2012,WB_WDI_NY_GDP_MKTP_CD,2.64E+11,Israel,USD,US dollars,A,A,GDP (current US$)
ITA,2012,WB_WDI_NY_GDP_MKTP_CD,2.10E+12,Italy,USD,US dollars,A,A,GDP (current US$)
JAM,2012,WB_WDI_NY_GDP_MKTP_CD,1.48E+10,Jamaica,USD,US dollars,A,A,GDP (current US$)
JPN,2012,WB_WDI_NY_GDP_MKTP_CD,6.27E+12,Japan,USD,US dollars,A,A,GDP (current US$)
IRL,2009,WB_WDI_NY_GDP_MKTP_CD,2.36E+11,Ireland,USD,US dollars,A,A,GDP (current US$)
IMN,2009,WB_WDI_NY_GDP_MKTP_CD,5.49E+09,Isle of Man,USD,US dollars,A,A,GDP (current US$)
ISR,2009,WB_WDI_NY_GDP_MKTP_CD,2.13E+11,Israel,USD,US dollars,A,A,GDP (current US$)
ITA,2009,WB_WDI_NY_GDP_MKTP_CD,2.21E+12,Italy,USD,US dollars,A,A,GDP (current US$)
JAM,2009,WB_WDI_NY_GDP_MKTP_CD,1.21E+10,Jamaica,USD,US dollars,A,A,GDP (current US$)
JPN,2009,WB_WDI_NY_GDP_MKTP_CD,5.29E+12,Japan,USD,US dollars,A,A,GDP (current US$)
JOR,2009,WB_WDI_NY_GDP_MKTP_CD,2.45E+10,Jordan,USD,US dollars,A,A,GDP (current US$)
KAZ,2009,WB_WDI_NY_GDP_MKTP_CD,1.15E+11,Kazakhstan,USD,US dollars,A,A,GDP (current US$)
KEN,2009,WB_WDI_NY_GDP_MKTP_CD,4.23E+10,Kenya,USD,US dollars,A,A,GDP (current US$)
KIR,2009,WB_WDI_NY_GDP_MKTP_CD,1.40E+08,Kiribati,USD,US dollars,A,A,GDP (current US$)
KOR,2009,WB_WDI_NY_GDP_MKTP_CD,9.83E+11,"Korea, Rep.",USD,US dollars,A,A,GDP (current US$)
GNQ,2015,WB_WDI_NY_GDP_MKTP_CD,1.32E+10,Equatorial Guinea,USD,US dollars,A,A,GDP (current US$)
EST,2015,WB_WDI_NY_GDP_MKTP_CD,2.33E+10,Estonia,USD,US dollars,A,A,GDP (current US$)
SWZ,2015,WB_WDI_NY_GDP_MKTP_CD,3.91E+09,Eswatini,USD,US dollars,A,A,GDP (current US$)
ETH,2015,WB_WDI_NY_GDP_MKTP_CD,6.21E+10,Ethiopia,USD,US dollars,A,A,GDP (current US$)
FRO,2015,WB_WDI_NY_GDP_MKTP_CD,2.57E+09,Faroe Islands,USD,US dollars,A,A,GDP (current US$)
FJI,2015,WB_WDI_NY_GDP_MKTP_CD,4.68E+09,Fiji,USD,US dollars,A,A,GDP (current US$)
FIN,2015,WB_WDI_NY_GDP_MKTP_CD,2.33E+11,Finland,USD,US dollars,A,A,GDP (current US$)
FRA,2015,WB_WDI_NY_GDP_MKTP_CD,2.44E+12,France,USD,US dollars,A,A,GDP (current US$)
PYF,2015,WB_WDI_NY_GDP_MKTP_CD,5.33E+09,French Polynesia,USD,US dollars,A,A,GDP (current US$)
GAB,2015,WB_WDI_NY_GDP_MKTP_CD,1.44E+10,Gabon,USD,US dollars,A,A,GDP (current US$)
GMB,2015,WB_WDI_NY_GDP_MKTP_CD,1.38E+09,"Gambia, The",USD,US dollars,A,A,GDP (current US$)
THA,2012,WB_WDI_NY_GDP_MKTP_CD,3.98E+11,Thailand,USD,US dollars,A,A,GDP (current US$)
TLS,2012,WB_WDI_NY_GDP_MKTP_CD,1.16E+09,Timor-Leste,USD,US dollars,A,A,GDP (current US$)
TGO,2012,WB_WDI_NY_GDP_MKTP_CD,5.41E+09,Togo,USD,US dollars,A,A,GDP (current US$)
TON,2012,WB_WDI_NY_GDP_MKTP_CD,4.71E+08,Tonga,USD,US dollars,A,A,GDP (current US$)
TTO,2012,WB_WDI_NY_GDP_MKTP_CD,2.71E+10,Trinidad and Tobago,USD,US dollars,A,A,GDP (current US$)
TUN,2012,WB_WDI_NY_GDP_MKTP_CD,4.73E+10,Tunisia,USD,US dollars,A,A,GDP (current US$)
TUR,2012,WB_WDI_NY_GDP_MKTP_CD,8.85E+11,Türkiye,USD,US dollars,A,A,GDP (current US$)
TKM,2012,WB_WDI_NY_GDP_MKTP_CD,3.52E+10,Turkmenistan,USD,US dollars,A,A,GDP (current US$)
TCA,2012,WB_WDI_NY_GDP_MKTP_CD,8.33E+08,Turks and Caicos Islands,USD,US dollars,A,A,GDP (current US$)
TUV,2012,WB_WDI_NY_GDP_MKTP_CD,3.93E+07,Tuvalu,USD,US dollars,A,A,GDP (current US$)
UGA,2012,WB_WDI_NY_GDP_MKTP_CD,2.73E+10,Uganda,USD,US dollars,A,A,GDP (current US$)
GRC,2006,WB_WDI_NY_GDP_MKTP_CD,2.69E+11,Greece,USD,US dollars,A,A,GDP (current US$)
GRL,2006,WB_WDI_NY_GDP_MKTP_CD,2.01E+09,Greenland,USD,US dollars,A,A,GDP (current US$)
GRD,2006,WB_WDI_NY_GDP_MKTP_CD,6.99E+08,Grenada,USD,US dollars,A,A,GDP (current US$)
GUM,2006,WB_WDI_NY_GDP_MKTP_CD,4.24E+09,Guam,USD,US dollars,A,A,GDP (current US$)
GTM,2006,WB_WDI_NY_GDP_MKTP_CD,2.97E+10,Guatemala,USD,US dollars,A,A,GDP (current US$)
GIN,2006,WB_WDI_NY_GDP_MKTP_CD,4.22E+09,Guinea,USD,US dollars,A,A,GDP (current US$)
GNB,2006,WB_WDI_NY_GDP_MKTP_CD,6.35E+08,Guinea-Bissau,USD,US dollars,A,A,GDP (current US$)
GUY,2006,WB_WDI_NY_GDP_MKTP_CD,2.38E+09,Guyana,USD,US dollars,A,A,GDP (current US$)
HTI,2006,WB_WDI_NY_GDP_MKTP_CD,7.64E+09,Haiti,USD,US dollars,A,A,GDP (current US$)
HND,2006,WB_WDI_NY_GDP_MKTP_CD,1.09E+10,Honduras,USD,US dollars,A,A,GDP (current US$)
HKG,2006,WB_WDI_NY_GDP_MKTP_CD,1.94E+11,"Hong Kong SAR, China",USD,US dollars,A,A,GDP (current US$)
HUN,2006,WB_WDI_NY_GDP_MKTP_CD,1.16E+11,Hungary,USD,US dollars,A,A,GDP (current US$)
ISL,2006,WB_WDI_NY_GDP_MKTP_CD,1.77E+10,Iceland,USD,US dollars,A,A,GDP (current US$)
AND,2018,WB_WDI_NY_GDP_MKTP_CD,3.22E+09,Andorra,USD,US dollars,A,A,GDP (current US$)
AGO,2018,WB_WDI_NY_GDP_MKTP_CD,8.95E+10,Angola,USD,US dollars,A,A,GDP (current US$)
ATG,2018,WB_WDI_NY_GDP_MKTP_CD,1.66E+09,Antigua and Barbuda,USD,US dollars,A,A,GDP (current US$)
ARG,2018,WB_WDI_NY_GDP_MKTP_CD,5.25E+11,Argentina,USD,US dollars,A,A,GDP (current US$)
ARM,2018,WB_WDI_NY_GDP_MKTP_CD,1.25E+10,Armenia,USD,US dollars,A,A,GDP (current US$)
ABW,2018,WB_WDI_NY_GDP_MKTP_CD,3.28E+09,Aruba,USD,US dollars,A,A,GDP (current US$)
AUS,2018,WB_WDI_NY_GDP_MKTP_CD,1.43E+12,Australia,USD,US dollars,A,A,GDP (current US$)
AUT,2018,WB_WDI_NY_GDP_MKTP_CD,4.53E+11,Austria,USD,US dollars,A,A,GDP (current US$)
AZE,2018,WB_WDI_NY_GDP_MKTP_CD,4.71E+10,Azerbaijan,USD,US dollars,A,A,GDP (current US$)
BHS,2018,WB_WDI_NY_GDP_MKTP_CD,1.28E+10,"Bahamas, The",USD,US dollars,A,A,GDP (current US$)
BHR,2018,WB_WDI_NY_GDP_MKTP_CD,3.96E+10,Bahrain,USD,US dollars,A,A,GDP (current US$)
BGD,2018,WB_WDI_NY_GDP_MKTP_CD,3.21E+11,Bangladesh,USD,US dollars,A,A,GDP (current US$)
SRB,2019,WB_WDI_NY_GDP_MKTP_CD,5.39E+10,Serbia,USD,US dollars,A,A,GDP (current US$)
SYC,2019,WB_WDI_NY_GDP_MKTP_CD,1.87E+09,Seychelles,USD,US dollars,A,A,GDP (current US$)
SLE,2019,WB_WDI_NY_GDP_MKTP_CD,6.52E+09,Sierra Leone,USD,US dollars,A,A,GDP (current US$)
SGP,2019,WB_WDI_NY_GDP_MKTP_CD,3.76E+11,Singapore,USD,US dollars,A,A,GDP (current US$)
SXM,2019,WB_WDI_NY_GDP_MKTP_CD,1.41E+09,Sint Maarten (Dutch part),USD,US dollars,A,A,GDP (current US$)
SVK,2019,WB_WDI_NY_GDP_MKTP_CD,1.06E+11,Slovak Republic,USD,US dollars,A,A,GDP (current US$)
SVN,2019,WB_WDI_NY_GDP_MKTP_CD,5.39E+10,Slovenia,USD,US dollars,A,A,GDP (current US$)
SLB,2019,WB_WDI_NY_GDP_MKTP_CD,1.62E+09,Solomon Islands,USD,US dollars,A,A,GDP (current US$)
SOM,2019,WB_WDI_NY_GDP_MKTP_CD,8.66E+09,Federal Republic of Somalia,USD,US dollars,A,A,GDP (current US$)
ZAF,2019,WB_WDI_NY_GDP_MKTP_CD,3.89E+11,South Africa,USD,US dollars,A,A,GDP (current US$)
ESP,2019,WB_WDI_NY_GDP_MKTP_CD,1.40E+12,Spain,USD,US dollars,A,A,GDP (current US$)
WSM,2009,WB_WDI_NY_GDP_MKTP_CD,6.28E+08,Samoa,USD,US dollars,A,A,GDP (current US$)
SMR,2009,WB_WDI_NY_GDP_MKTP_CD,2.06E+09,San Marino,USD,US dollars,A,A,GDP (current US$)
STP,2009,WB_WDI_NY_GDP_MKTP_CD,2.01E+08,São Tomé and Príncipe,USD,US dollars,A,A,GDP (current US$)
SAU,2009,WB_WDI_NY_GDP_MKTP_CD,4.29E+11,Saudi Arabia,USD,US dollars,A,A,GDP (current US$)
SEN,2009,WB_WDI_NY_GDP_MKTP_CD,1.61E+10,Senegal,USD,US dollars,A,A,GDP (current US$)
SRB,2009,WB_WDI_NY_GDP_MKTP_CD,4.70E+10,Serbia,USD,US dollars,A,A,GDP (current US$)
SYC,2009,WB_WDI_NY_GDP_MKTP_CD,8.51E+08,Seychelles,USD,US dollars,A,A,GDP (current US$)
SLE,2009,WB_WDI_NY_GDP_MKTP_CD,3.95E+09,Sierra Leone,USD,US dollars,A,A,GDP (current US$)
SGP,2009,WB_WDI_NY_GDP_MKTP_CD,1.94E+11,Singapore,USD,US dollars,A,A,GDP (current US$)
SXM,2009,WB_WDI_NY_GDP_MKTP_CD,8.55E+08,Sint Maarten (Dutch part),USD,US dollars,A,A,GDP (current US$)
SVK,2009,WB_WDI_NY_GDP_MKTP_CD,8.93E+10,Slovak Republic,USD,US dollars,A,A,GDP (current US$)
SVN,2009,WB_WDI_NY_GDP_MKTP_CD,5.00E+10,Slovenia,USD,US dollars,A,A,GDP (current US$)
SLB,2009,WB_WDI_NY_GDP_MKTP_CD,8.06E+08,Solomon Islands,USD,US dollars,A,A,GDP (current US$)
NCL,2009,WB_WDI_NY_GDP_MKTP_CD,8.70E+09,New Caledonia,USD,US dollars,A,A,GDP (current US$)
NZL,2009,WB_WDI_NY_GDP_MKTP_CD,1.22E+11,New Zealand,USD,US dollars,A,A,GDP (current US$)
NIC,2009,WB_WDI_NY_GDP_MKTP_CD,8.30E+09,Nicaragua,USD,US dollars,A,A,GDP (current US$)
NER,2009,WB_WDI_NY_GDP_MKTP_CD,7.35E+09,Niger,USD,US dollars,A,A,GDP (current US$)
NGA,2009,WB_WDI_NY_GDP_MKTP_CD,2.95E+11,Nigeria,USD,US dollars,A,A,GDP (current US$)
MKD,2009,WB_WDI_NY_GDP_MKTP_CD,9.40E+09,North Macedonia,USD,US dollars,A,A,GDP (current US$)
MNP,2009,WB_WDI_NY_GDP_MKTP_CD,7.95E+08,Northern Mariana Islands,USD,US dollars,A,A,GDP (current US$)
NOR,2009,WB_WDI_NY_GDP_MKTP_CD,3.88E+11,Norway,USD,US dollars,A,A,GDP (current US$)
OMN,2009,WB_WDI_NY_GDP_MKTP_CD,5.55E+10,Oman,USD,US dollars,A,A,GDP (current US$)
PAK,2009,WB_WDI_NY_GDP_MKTP_CD,1.87E+11,Pakistan,USD,US dollars,A,A,GDP (current US$)
PLW,2009,WB_WDI_NY_GDP_MKTP_CD,1.90E+08,Palau,USD,US dollars,A,A,GDP (current US$)
PAN,2009,WB_WDI_NY_GDP_MKTP_CD,2.78E+10,Panama,USD,US dollars,A,A,GDP (current US$)
SWE,2011,WB_WDI_NY_GDP_MKTP_CD,5.71E+11,Sweden,USD,US dollars,A,A,GDP (current US$)
CHE,2011,WB_WDI_NY_GDP_MKTP_CD,7.16E+11,Switzerland,USD,US dollars,A,A,GDP (current US$)
SYR,2011,WB_WDI_NY_GDP_MKTP_CD,6.75E+10,Syrian Arab Republic,USD,US dollars,A,A,GDP (current US$)
TJK,2011,WB_WDI_NY_GDP_MKTP_CD,6.52E+09,Tajikistan,USD,US dollars,A,A,GDP (current US$)
TZA,2011,WB_WDI_NY_GDP_MKTP_CD,3.47E+10,Tanzania,USD,US dollars,A,A,GDP (current US$)
THA,2011,WB_WDI_NY_GDP_MKTP_CD,3.71E+11,Thailand,USD,US dollars,A,A,GDP (current US$)
TLS,2011,WB_WDI_NY_GDP_MKTP_CD,1.04E+09,Timor-Leste,USD,US dollars,A,A,GDP (current US$)
TGO,2011,WB_WDI_NY_GDP_MKTP_CD,5.42E+09,Togo,USD,US dollars,A,A,GDP (current US$)
TON,2011,WB_WDI_NY_GDP_MKTP_CD,4.14E+08,Tonga,USD,US dollars,A,A,GDP (current US$)
TTO,2011,WB_WDI_NY_GDP_MKTP_CD,2.54E+10,Trinidad and Tobago,USD,US dollars,A,A,GDP (current US$)
TUN,2011,WB_WDI_NY_GDP_MKTP_CD,4.81E+10,Tunisia,USD,US dollars,A,A,GDP (current US$)
KEN,2010,WB_WDI_NY_GDP_MKTP_CD,4.54E+10,Kenya,USD,US dollars,A,A,GDP (current US$)
KIR,2010,WB_WDI_NY_GDP_MKTP_CD,1.65E+08,Kiribati,USD,US dollars,A,A,GDP (current US$)
KOR,2010,WB_WDI_NY_GDP_MKTP_CD,1.19E+12,"Korea, Rep.",USD,US dollars,A,A,GDP (current US$)
XKX,2010,WB_WDI_NY_GDP_MKTP_CD,5.34E+09,Kosovo,USD,US dollars,A,A,GDP (current US$)
KWT,2010,WB_WDI_NY_GDP_MKTP_CD,1.15E+11,Kuwait,USD,US dollars,A,A,GDP (current US$)
KGZ,2010,WB_WDI_NY_GDP_MKTP_CD,4.79E+09,Kyrgyz Republic,USD,US dollars,A,A,GDP (current US$)
LAO,2010,WB_WDI_NY_GDP_MKTP_CD,7.13E+09,Lao PDR,USD,US dollars,A,A,GDP (current US$)
LVA,2010,WB_WDI_NY_GDP_MKTP_CD,2.35E+10,Latvia,USD,US dollars,A,A,GDP (current US$)
LBN,2010,WB_WDI_NY_GDP_MKTP_CD,3.84E+10,Lebanon,USD,US dollars,A,A,GDP (current US$)
LSO,2010,WB_WDI_NY_GDP_MKTP_CD,2.23E+09,Lesotho,USD,US dollars,A,A,GDP (current US$)
BGD,2017,WB_WDI_NY_GDP_MKTP_CD,2.94E+11,Bangladesh,USD,US dollars,A,A,GDP (current US$)
BRB,2017,WB_WDI_NY_GDP_MKTP_CD,5.68E+09,Barbados,USD,US dollars,A,A,GDP (current US$)
BLR,2017,WB_WDI_NY_GDP_MKTP_CD,5.47E+10,Belarus,USD,US dollars,A,A,GDP (current US$)
BEL,2017,WB_WDI_NY_GDP_MKTP_CD,5.01E+11,Belgium,USD,US dollars,A,A,GDP (current US$)
BLZ,2017,WB_WDI_NY_GDP_MKTP_CD,2.27E+09,Belize,USD,US dollars,A,A,GDP (current US$)
BEN,2017,WB_WDI_NY_GDP_MKTP_CD,1.27E+10,Benin,USD,US dollars,A,A,GDP (current US$)
BMU,2017,WB_WDI_NY_GDP_MKTP_CD,7.14E+09,Bermuda,USD,US dollars,A,A,GDP (current US$)
BTN,2017,WB_WDI_NY_GDP_MKTP_CD,2.59E+09,Bhutan,USD,US dollars,A,A,GDP (current US$)
BOL,2017,WB_WDI_NY_GDP_MKTP_CD,4.59E+10,Bolivia,USD,US dollars,A,A,GDP (current US$)
BIH,2017,WB_WDI_NY_GDP_MKTP_CD,1.83E+10,Bosnia and Herzegovina,USD,US dollars,A,A,GDP (current US$)
BWA,2017,WB_WDI_NY_GDP_MKTP_CD,1.61E+10,Botswana,USD,US dollars,A,A,GDP (current US$)
GRC,2012,WB_WDI_NY_GDP_MKTP_CD,2.39E+11,Greece,USD,US dollars,A,A,GDP (current US$)
GRL,2012,WB_WDI_NY_GDP_MKTP_CD,2.61E+09,Greenland,USD,US dollars,A,A,GDP (current US$)
GRD,2012,WB_WDI_NY_GDP_MKTP_CD,8.00E+08,Grenada,USD,US dollars,A,A,GDP (current US$)
GUM,2012,WB_WDI_NY_GDP_MKTP_CD,5.27E+09,Guam,USD,US dollars,A,A,GDP (current US$)
GTM,2012,WB_WDI_NY_GDP_MKTP_CD,4.96E+10,Guatemala,USD,US dollars,A,A,GDP (current US$)
GIN,2012,WB_WDI_NY_GDP_MKTP_CD,7.64E+09,Guinea,USD,US dollars,A,A,GDP (current US$)
GNB,2012,WB_WDI_NY_GDP_MKTP_CD,1.05E+09,Guinea-Bissau,USD,US dollars,A,A,GDP (current US$)
GUY,2012,WB_WDI_NY_GDP_MKTP_CD,4.06E+09,Guyana,USD,US dollars,A,A,GDP (current US$)
HTI,2012,WB_WDI_NY_GDP_MKTP_CD,1.37E+10,Haiti,USD,US dollars,A,A,GDP (current US$)
HND,2012,WB_WDI_NY_GDP_MKTP_CD,1.85E+10,Honduras,USD,US dollars,A,A,GDP (current US$)
HKG,2012,WB_WDI_NY_GDP_MKTP_CD,2.63E+11,"Hong Kong SAR, China",USD,US dollars,A,A,GDP (current US$)
HUN,2012,WB_WDI_NY_GDP_MKTP_CD,1.28E+11,Hungary,USD,US dollars,A,A,GDP (current US$)
SLV,2017,WB_WDI_NY_GDP_MKTP_CD,2.50E+10,El Salvador,USD,US dollars,A,A,GDP (current US$)
GNQ,2017,WB_WDI_NY_GDP_MKTP_CD,1.22E+10,Equatorial Guinea,USD,US dollars,A,A,GDP (current US$)
EST,2017,WB_WDI_NY_GDP_MKTP_CD,2.75E+10,Estonia,USD,US dollars,A,A,GDP (current US$)
SWZ,2017,WB_WDI_NY_GDP_MKTP_CD,4.46E+09,Eswatini,USD,US dollars,A,A,GDP (current US$)
ETH,2017,WB_WDI_NY_GDP_MKTP_CD,7.64E+10,Ethiopia,USD,US dollars,A,A,GDP (current US$)
FRO,2017,WB_WDI_NY_GDP_MKTP_CD,2.98E+09,Faroe Islands,USD,US dollars,A,A,GDP (current US$)
FJI,2017,WB_WDI_NY_GDP_MKTP_CD,5.35E+09,Fiji,USD,US dollars,A,A,GDP (current US$)
FIN,2017,WB_WDI_NY_GDP_MKTP_CD,2.54E+11,Finland,USD,US dollars,A,A,GDP (current US$)
FRA,2017,WB_WDI_NY_GDP_MKTP_CD,2.59E+12,France,USD,US dollars,A,A,GDP (current US$)
PYF,2017,WB_WDI_NY_GDP_MKTP_CD,5.83E+09,French Polynesia,USD,US dollars,A,A,GDP (current US$)
GAB,2017,WB_WDI_NY_GDP_MKTP_CD,1.49E+10,Gabon,USD,US dollars,A,A,GDP (current US$)
GMB,2017,WB_WDI_NY_GDP_MKTP_CD,1.50E+09,"Gambia, The",USD,US dollars,A,A,GDP (current US$)
GEO,2017,WB_WDI_NY_GDP_MKTP_CD,1.65E+10,Georgia,USD,US dollars,A,A,GDP (current US$)
DEU,2017,WB_WDI_NY_GDP_MKTP_CD,3.77E+12,Germany,USD,US dollars,A,A,GDP (current US$)
GHA,2017,WB_WDI_NY_GDP_MKTP_CD,6.04E+10,Ghana,USD,US dollars,A,A,GDP (current US$)
GRC,2017,WB_WDI_NY_GDP_MKTP_CD,2.00E+11,Greece,USD,US dollars,A,A,GDP (current US$)
GRL,2017,WB_WDI_NY_GDP_MKTP_CD,2.85E+09,Greenland,USD,US dollars,A,A,GDP (current US$)
GRD,2017,WB_WDI_NY_GDP_MKTP_CD,1.13E+09,Grenada,USD,US dollars,A,A,GDP (current US$)
GUM,2017,WB_WDI_NY_GDP_MKTP_CD,6.01E+09,Guam,USD,US dollars,A,A,GDP (current US$)
GTM,2017,WB_WDI_NY_GDP_MKTP_CD,7.17E+10,Guatemala,USD,US dollars,A,A,GDP (current US$)
GIN,2017,WB_WDI_NY_GDP_MKTP_CD,1.03E+10,Guinea,USD,US dollars,A,A,GDP (current US$)
GNB,2017,WB_WDI_NY_GDP_MKTP_CD,1.47E+09,Guinea-Bissau,USD,US dollars,A,A,GDP (current US$)
GUY,2017,WB_WDI_NY_GDP_MKTP_CD,4.75E+09,Guyana,USD,US dollars,A,A,GDP (current US$)
PNG,2014,WB_WDI_NY_GDP_MKTP_CD,2.32E+10,Papua New Guinea,USD,US dollars,A,A,GDP (current US$)
PRY,2014,WB_WDI_NY_GDP_MKTP_CD,4.04E+10,Paraguay,USD,US dollars,A,A,GDP (current US$)
PER,2014,WB_WDI_NY_GDP_MKTP_CD,2.01E+11,Peru,USD,US dollars,A,A,GDP (current US$)
PHL,2014,WB_WDI_NY_GDP_MKTP_CD,2.97E+11,Philippines,USD,US dollars,A,A,GDP (current US$)
POL,2014,WB_WDI_NY_GDP_MKTP_CD,5.42E+11,Poland,USD,US dollars,A,A,GDP (current US$)
PRT,2014,WB_WDI_NY_GDP_MKTP_CD,2.30E+11,Portugal,USD,US dollars,A,A,GDP (current US$)
PRI,2014,WB_WDI_NY_GDP_MKTP_CD,1.02E+11,Puerto Rico,USD,US dollars,A,A,GDP (current US$)
QAT,2014,WB_WDI_NY_GDP_MKTP_CD,2.06E+11,Qatar,USD,US dollars,A,A,GDP (current US$)
ROU,2014,WB_WDI_NY_GDP_MKTP_CD,2.00E+11,Romania,USD,US dollars,A,A,GDP (current US$)
RUS,2014,WB_WDI_NY_GDP_MKTP_CD,2.06E+12,Russian Federation,USD,US dollars,A,A,GDP (current US$)
BOL,2009,WB_WDI_NY_GDP_MKTP_CD,1.73E+10,Bolivia,USD,US dollars,A,A,GDP (current US$)
BIH,2009,WB_WDI_NY_GDP_MKTP_CD,1.76E+10,Bosnia and Herzegovina,USD,US dollars,A,A,GDP (current US$)
BWA,2009,WB_WDI_NY_GDP_MKTP_CD,1.01E+10,Botswana,USD,US dollars,A,A,GDP (current US$)
BRA,2009,WB_WDI_NY_GDP_MKTP_CD,1.67E+12,Brazil,USD,US dollars,A,A,GDP (current US$)
BRN,2009,WB_WDI_NY_GDP_MKTP_CD,1.19E+10,Brunei Darussalam,USD,US dollars,A,A,GDP (current US$)
BGR,2009,WB_WDI_NY_GDP_MKTP_CD,5.20E+10,Bulgaria,USD,US dollars,A,A,GDP (current US$)
BFA,2009,WB_WDI_NY_GDP_MKTP_CD,9.45E+09,Burkina Faso,USD,US dollars,A,A,GDP (current US$)
BDI,2009,WB_WDI_NY_GDP_MKTP_CD,1.78E+09,Burundi,USD,US dollars,A,A,GDP (current US$)
CPV,2009,WB_WDI_NY_GDP_MKTP_CD,1.85E+09,Cabo Verde,USD,US dollars,A,A,GDP (current US$)
MKD,2012,WB_WDI_NY_GDP_MKTP_CD,9.75E+09,North Macedonia,USD,US dollars,A,A,GDP (current US$)
MNP,2012,WB_WDI_NY_GDP_MKTP_CD,7.46E+08,Northern Mariana Islands,USD,US dollars,A,A,GDP (current US$)
NOR,2012,WB_WDI_NY_GDP_MKTP_CD,5.13E+11,Norway,USD,US dollars,A,A,GDP (current US$)
OMN,2012,WB_WDI_NY_GDP_MKTP_CD,8.74E+10,Oman,USD,US dollars,A,A,GDP (current US$)
PAK,2012,WB_WDI_NY_GDP_MKTP_CD,2.50E+11,Pakistan,USD,US dollars,A,A,GDP (current US$)
PLW,2012,WB_WDI_NY_GDP_MKTP_CD,2.16E+08,Palau,USD,US dollars,A,A,GDP (current US$)
PAN,2012,WB_WDI_NY_GDP_MKTP_CD,4.16E+10,Panama,USD,US dollars,A,A,GDP (current US$)
PNG,2012,WB_WDI_NY_GDP_MKTP_CD,2.13E+10,Papua New Guinea,USD,US dollars,A,A,GDP (current US$)
PRY,2012,WB_WDI_NY_GDP_MKTP_CD,3.33E+10,Paraguay,USD,US dollars,A,A,GDP (current US$)
PER,2012,WB_WDI_NY_GDP_MKTP_CD,1.93E+11,Peru,USD,US dollars,A,A,GDP (current US$)
PHL,2012,WB_WDI_NY_GDP_MKTP_CD,2.62E+11,Philippines,USD,US dollars,A,A,GDP (current US$)
PNG,2005,WB_WDI_NY_GDP_MKTP_CD,4.87E+09,Papua New Guinea,USD,US dollars,A,A,GDP (current US$)
PRY,2005,WB_WDI_NY_GDP_MKTP_CD,1.07E+10,Paraguay,USD,US dollars,A,A,GDP (current US$)
PER,2005,WB_WDI_NY_GDP_MKTP_CD,7.61E+10,Peru,USD,US dollars,A,A,GDP (current US$)
PHL,2005,WB_WDI_NY_GDP_MKTP_CD,1.07E+11,Philippines,USD,US dollars,A,A,GDP (current US$)
POL,2005,WB_WDI_NY_GDP_MKTP_CD,3.07E+11,Poland,USD,US dollars,A,A,GDP (current US$)
PRT,2005,WB_WDI_NY_GDP_MKTP_CD,1.97E+11,Portugal,USD,US dollars,A,A,GDP (current US$)
PRI,2005,WB_WDI_NY_GDP_MKTP_CD,8.39E+10,Puerto Rico,USD,US dollars,A,A,GDP (current US$)
QAT,2005,WB_WDI_NY_GDP_MKTP_CD,4.45E+10,Qatar,USD,US dollars,A,A,GDP (current US$)
ROU,2005,WB_WDI_NY_GDP_MKTP_CD,9.85E+10,Romania,USD,US dollars,A,A,GDP (current US$)
RUS,2005,WB_WDI_NY_GDP_MKTP_CD,7.64E+11,Russian Federation,USD,US dollars,A,A,GDP (current US$)
