REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE,REF_AREA_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,FREQ,OBS_STATUS,INDICATOR_LABEL
ZWE,2014,WB_WDI_NY_GDP_MKTP_CD,1.95E+10,Zimbabwe,USD,US dollars,A,A,GDP (current US$)
AFE,2015,WB_WDI_NY_GDP_MKTP_CD,9.10E+11,Eastern & Southern Africa,USD,US dollars,A,A,GDP (current US$)
AFW,2015,WB_WDI_NY_GDP_MKTP_CD,7.78E+11,Western & Central Africa,USD,US dollars,A,A,GDP (current US$)
ARB,2015,WB_WDI_NY_GDP_MKTP_CD,2.58E+12,Arab World,USD,US dollars,A,A,GDP (current US$)
CSS,2015,WB_WDI_NY_GDP_MKTP_CD,6.25E+10,Caribbean small states,USD,US dollars,A,A,GDP (current US$)
VUT,2013,WB_WDI_NY_GDP_MKTP_CD,7.58E+08,Vanuatu,USD,US dollars,A,A,GDP (current US$)
VEN,2013,WB_WDI_NY_GDP_MKTP_CD,2.59E+11,"Venezuela, RB",USD,US dollars,A,A,GDP (current US$)
VNM,2013,WB_WDI_NY_GDP_MKTP_CD,2.14E+11,Vietnam,USD,US dollars,A,A,GDP (current US$)
VIR,2013,WB_WDI_NY_GDP_MKTP_CD,3.74E+09,Virgin Islands (U.S.),USD,US dollars,A,A,GDP (current US$)
PSE,2013,WB_WDI_NY_GDP_MKTP_CD,1.35E+10,West Bank and Gaza,USD,US dollars,A,A,GDP (current US$)
YEM,2013,WB_WDI_NY_GDP_MKTP_CD,4.04E+10,"Yemen, Rep.",USD,US dollars,A,A,GDP (current US$)
ZMB,2013,WB_WDI_NY_GDP_MKTP_CD,2.80E+10,Zambia,USD,US dollars,A,A,GDP (current US$)
ZWE,2013,WB_WDI_NY_GDP_MKTP_CD,1.91E+10,Zimbabwe,USD,US dollars,A,A,GDP (current US$)
AFE,2014,WB_WDI_NY_GDP_MKTP_CD,9.99E+11,Eastern & Southern Africa,USD,US dollars,A,A,GDP (current US$)
AFW,2014,WB_WDI_NY_GDP_MKTP_CD,9.04E+11,Western & Central Africa,USD,US dollars,A,A,GDP (current US$)
ARB,2014,WB_WDI_NY_GDP_MKTP_CD,2.94E+12,Arab World,USD,US dollars,A,A,GDP (current US$)
CSS,2014,WB_WDI_NY_GDP_MKTP_CD,6.41E+10,Caribbean small states,USD,US dollars,A,A,GDP (current US$)
ZWE,2010,WB_WDI_NY_GDP_MKTP_CD,1.20E+10,Zimbabwe,USD,US dollars,A,A,GDP (current US$)
AFE,2011,WB_WDI_NY_GDP_MKTP_CD,9.60E+11,Eastern & Southern Africa,USD,US dollars,A,A,GDP (current US$)
AFW,2011,WB_WDI_NY_GDP_MKTP_CD,6.91E+11,Western & Central Africa,USD,US dollars,A,A,GDP (current US$)
ARB,2011,WB_WDI_NY_GDP_MKTP_CD,2.57E+12,Arab World,USD,US dollars,A,A,GDP (current US$)
CSS,2011,WB_WDI_NY_GDP_MKTP_CD,5.68E+10,Caribbean small states,USD,US dollars,A,A,GDP (current US$)
CEB,2011,WB_WDI_NY_GDP_MKTP_CD,1.46E+12,Central Europe and the Baltics,USD,US dollars,A,A,GDP (current US$)
EAR,2011,WB_WDI_NY_GDP_MKTP_CD,9.83E+12,Early-demographic dividend,USD,US dollars,A,A,GDP (current US$)
EAS,2011,WB_WDI_NY_GDP_MKTP_CD,2.00E+13,East Asia & Pacific,USD,US dollars,A,A,GDP (current US$)
EAP,2011,WB_WDI_NY_GDP_MKTP_CD,9.77E+12,East Asia & Pacific (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEA,2011,WB_WDI_NY_GDP_MKTP_CD,9.76E+12,East Asia & Pacific (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EMU,2011,WB_WDI_NY_GDP_MKTP_CD,1.38E+13,Euro area,USD,US dollars,A,A,GDP (current US$)
ECS,2011,WB_WDI_NY_GDP_MKTP_CD,2.34E+13,Europe & Central Asia,USD,US dollars,A,A,GDP (current US$)
ECA,2011,WB_WDI_NY_GDP_MKTP_CD,1.57E+12,Europe & Central Asia (excluding high income),USD,US dollars,A,A,GDP (current US$)
SSA,2012,WB_WDI_NY_GDP_MKTP_CD,1.67E+12,Sub-Saharan Africa (excluding high income),USD,US dollars,A,A,GDP (current US$)
TSS,2012,WB_WDI_NY_GDP_MKTP_CD,1.72E+12,Sub-Saharan Africa (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
UMC,2012,WB_WDI_NY_GDP_MKTP_CD,1.88E+13,Upper middle income,USD,US dollars,A,A,GDP (current US$)
WLD,2012,WB_WDI_NY_GDP_MKTP_CD,7.60E+13,World,USD,US dollars,A,A,GDP (current US$)
AFG,2012,WB_WDI_NY_GDP_MKTP_CD,1.99E+10,Afghanistan,USD,US dollars,A,A,GDP (current US$)
ALB,2012,WB_WDI_NY_GDP_MKTP_CD,1.22E+10,Albania,USD,US dollars,A,A,GDP (current US$)
DZA,2012,WB_WDI_NY_GDP_MKTP_CD,2.27E+11,Algeria,USD,US dollars,A,A,GDP (current US$)
ASM,2012,WB_WDI_NY_GDP_MKTP_CD,6.40E+08,American Samoa,USD,US dollars,A,A,GDP (current US$)
AND,2012,WB_WDI_NY_GDP_MKTP_CD,3.19E+09,Andorra,USD,US dollars,A,A,GDP (current US$)
AGO,2012,WB_WDI_NY_GDP_MKTP_CD,1.44E+11,Angola,USD,US dollars,A,A,GDP (current US$)
ATG,2012,WB_WDI_NY_GDP_MKTP_CD,1.36E+09,Antigua and Barbuda,USD,US dollars,A,A,GDP (current US$)
ARG,2012,WB_WDI_NY_GDP_MKTP_CD,5.46E+11,Argentina,USD,US dollars,A,A,GDP (current US$)
ARM,2012,WB_WDI_NY_GDP_MKTP_CD,1.06E+10,Armenia,USD,US dollars,A,A,GDP (current US$)
ZMB,2012,WB_WDI_NY_GDP_MKTP_CD,2.55E+10,Zambia,USD,US dollars,A,A,GDP (current US$)
ZWE,2012,WB_WDI_NY_GDP_MKTP_CD,1.71E+10,Zimbabwe,USD,US dollars,A,A,GDP (current US$)
AFE,2013,WB_WDI_NY_GDP_MKTP_CD,9.81E+11,Eastern & Southern Africa,USD,US dollars,A,A,GDP (current US$)
AFW,2013,WB_WDI_NY_GDP_MKTP_CD,8.44E+11,Western & Central Africa,USD,US dollars,A,A,GDP (current US$)
ARB,2013,WB_WDI_NY_GDP_MKTP_CD,2.88E+12,Arab World,USD,US dollars,A,A,GDP (current US$)
CSS,2013,WB_WDI_NY_GDP_MKTP_CD,6.21E+10,Caribbean small states,USD,US dollars,A,A,GDP (current US$)
CEB,2013,WB_WDI_NY_GDP_MKTP_CD,1.42E+12,Central Europe and the Baltics,USD,US dollars,A,A,GDP (current US$)
EAR,2013,WB_WDI_NY_GDP_MKTP_CD,1.03E+13,Early-demographic dividend,USD,US dollars,A,A,GDP (current US$)
EAS,2013,WB_WDI_NY_GDP_MKTP_CD,2.17E+13,East Asia & Pacific,USD,US dollars,A,A,GDP (current US$)
EAP,2013,WB_WDI_NY_GDP_MKTP_CD,1.20E+13,East Asia & Pacific (excluding high income),USD,US dollars,A,A,GDP (current US$)
