typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,208,DNK,Denmark,0,W00,World,H5,HS,1,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,89526.515,0,8,kg,89526.515,0.0,89526.515,0,0.0,0.0,,3730983.0,3730983.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,804,UKR,Ukraine,0,W00,World,H5,HS,1,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1581788.4,0,8,kg,1581788.4,0.0,1581788.4,0,0.0,0.0,,3682056.0,3682056.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,804,UKR,Ukraine,0,W00,World,H5,HS,1,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1680928.176,0,8,kg,1680928.176,0.0,1680928.176,0,0.0,0.0,,40643844.0,40643844.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,804,UKR,Ukraine,0,W00,World,H5,HS,1,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3575495.484,0,8,kg,3575495.484,0.0,3575495.484,0,0.0,0.0,,32744544.0,32744544.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,316,GUM,Guam,0,W00,World,H5,HS,1,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46189275.6,0,8,kg,46189275.6,0.0,46189275.6,0,0.0,0.0,,28992672.0,28992672.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,316,GUM,Guam,0,W00,World,H5,HS,1,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15582.588,0,8,kg,15582.588,0.0,15582.588,0,0.0,0.0,,360680.0,360680.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,316,GUM,Guam,0,W00,World,H5,HS,1,8473,"Machinery; parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,159.05,0,8,kg,159.05,0.0,159.05,0,0.0,0.0,,4373.0,4373.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,566,NGA,Nigeria,0,W00,World,H5,HS,1,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,437557424.0,0,8,kg,437557424.0,0.0,437557424.0,0,0.0,0.0,,255318294.0,255318294.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,566,NGA,Nigeria,0,W00,World,H5,HS,1,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10134.396,0,8,kg,10134.396,0.0,10134.396,0,0.0,0.0,,416882.0,416882.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,566,NGA,Nigeria,0,W00,World,H5,HS,1,8473,"Machinery; parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3677.726,0,8,kg,3677.726,0.0,3677.726,0,0.0,0.0,,331572.0,331572.0,0,False,1.0
