REF_AREA,REF_AREA_LABEL,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE
ZWE,Zimbabwe,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,1.98948554,PC_A
AFE,Eastern & Southern Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,3.920389702,PC_A
AFW,Western & Central Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,5.691551207,PC_A
ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,2.659752314,PC_A
CSS,Caribbean small states,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,2.59149739,PC_A
ZWE,Zimbabwe,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,19.6754077,PC_A
AFE,Eastern & Southern Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,4.077476966,PC_A
AFW,Western & Central Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,4.922047024,PC_A
ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,3.853203588,PC_A
CSS,Caribbean small states,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,0.886353025,PC_A
CEB,Central Europe and the Baltics,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,3.600603636,PC_A
EAR,Early-demographic dividend,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,4.952359812,PC_A
EAS,East Asia & Pacific,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,5.451001962,PC_A
EAP,East Asia & Pacific (excluding high income),WB_WDI_NY_GDP_MKTP_KD_ZG,2011,8.58482683,PC_A
TEA,East Asia & Pacific (IDA & IBRD),WB_WDI_NY_GDP_MKTP_KD_ZG,2011,8.584767964,PC_A
EMU,Euro area,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,1.777544731,PC_A
ECS,Europe & Central Asia,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,2.329134383,PC_A
ECA,Europe & Central Asia (excluding high income),WB_WDI_NY_GDP_MKTP_KD_ZG,2011,8.32799695,PC_A
SSA,Sub-Saharan Africa (excluding high income),WB_WDI_NY_GDP_MKTP_KD_ZG,2012,3.174465161,PC_A
TSS,Sub-Saharan Africa (IDA & IBRD),WB_WDI_NY_GDP_MKTP_KD_ZG,2012,3.335663082,PC_A
UMC,Upper middle income,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,5.7800436,PC_A
WLD,World,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,2.731209793,PC_A
AFG,Afghanistan,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,12.75228709,PC_A
ALB,Albania,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,0.98412988,PC_A
DZA,Algeria,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,2.4,PC_A
ASM,American Samoa,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,-4.334828102,PC_A
AND,Andorra,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,-4.974443719,PC_A
AGO,Angola,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,8.503122839,PC_A
ATG,Antigua and Barbuda,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,3.373142739,PC_A
ARG,Argentina,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,-1.026420454,PC_A
ARM,Armenia,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,7.200000001,PC_A
ZMB,Zambia,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,7.597381049,PC_A
ZWE,Zimbabwe,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,16.66542904,PC_A
AFE,Eastern & Southern Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,4.356682497,PC_A
AFW,Western & Central Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,6.046692131,PC_A
ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,2.647320609,PC_A
CSS,Caribbean small states,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,1.375225714,PC_A
CEB,Central Europe and the Baltics,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,0.667866778,PC_A
EAR,Early-demographic dividend,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,4.030776774,PC_A
EAS,East Asia & Pacific,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,5.278815865,PC_A
EAP,East Asia & Pacific (excluding high income),WB_WDI_NY_GDP_MKTP_KD_ZG,2013,7.317541824,PC_A
TEA,East Asia & Pacific (IDA & IBRD),WB_WDI_NY_GDP_MKTP_KD_ZG,2013,7.317290253,PC_A
EMU,Euro area,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,-0.16672488,PC_A
ECS,Europe & Central Asia,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,0.864284116,PC_A
UZB,Uzbekistan,WB_WDI_NY_GDP_MKTP_KD_ZG,2018,5.559195729,PC_A
VUT,Vanuatu,WB_WDI_NY_GDP_MKTP_KD_ZG,2018,2.900230273,PC_A
VEN,"Venezuela, RB",WB_WDI_NY_GDP_MKTP_KD_ZG,2018,-19.6553416,PC_A
VNM,Vietnam,WB_WDI_NY_GDP_MKTP_KD_ZG,2018,7.465006856,PC_A
VIR,Virgin Islands (U.S.),WB_WDI_NY_GDP_MKTP_KD_ZG,2018,1.878306878,PC_A
PSE,West Bank and Gaza,WB_WDI_NY_GDP_MKTP_KD_ZG,2018,1.227077378,PC_A
YEM,"Yemen, Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2018,0.752447593,PC_A
ZMB,Zambia,WB_WDI_NY_GDP_MKTP_KD_ZG,2018,4.034493897,PC_A
ZWE,Zimbabwe,WB_WDI_NY_GDP_MKTP_KD_ZG,2018,5.009921543,PC_A
AFE,Eastern & Southern Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2019,2.030076862,PC_A
AFW,Western & Central Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2019,3.281682769,PC_A
ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,2019,1.747781122,PC_A
WLD,World,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,4.524240326,PC_A
AFG,Afghanistan,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,14.36244147,PC_A
ALB,Albania,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,2.973154427,PC_A
DZA,Algeria,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,4.800000001,PC_A
ASM,American Samoa,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,0.299850075,PC_A
AND,Andorra,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,-1.974958,PC_A
AGO,Angola,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,5.293665728,PC_A
ATG,Antigua and Barbuda,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,-7.840506837,PC_A
ARG,Argentina,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,10.12539816,PC_A
ARM,Armenia,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,2.2,PC_A
ABW,Aruba,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,-2.733456793,PC_A
AUS,Australia,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,2.210047953,PC_A
JOR,Jordan,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,2.429358001,PC_A
KAZ,Kazakhstan,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,4.799999995,PC_A
KEN,Kenya,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,4.568679614,PC_A
KIR,Kiribati,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,5.803659746,PC_A
KOR,"Korea, Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2012,2.547665506,PC_A
XKX,Kosovo,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,1.712195959,PC_A
KWT,Kuwait,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,6.625874851,PC_A
KGZ,Kyrgyz Republic,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,-0.0881502,PC_A
LAO,Lao PDR,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,8.026098435,PC_A
LVA,Latvia,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,7.305240572,PC_A
SLV,El Salvador,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.539062411,PC_A
GNQ,Equatorial Guinea,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,-8.816417232,PC_A
EST,Estonia,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,3.093019208,PC_A
SWZ,Eswatini,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.949168211,PC_A
ETH,Ethiopia,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,9.43348266,PC_A
FRO,Faroe Islands,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,1.386447959,PC_A
FJI,Fiji,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.445651797,PC_A
FIN,Finland,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.571934149,PC_A
FRA,France,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,0.860031075,PC_A
PYF,French Polynesia,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.302198237,PC_A
GAB,Gabon,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.091442208,PC_A
TGO,Togo,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,4.214903874,PC_A
TON,Tonga,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,6.598704361,PC_A
TTO,Trinidad and Tobago,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,-7.536363054,PC_A
TUN,Tunisia,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,1.117231964,PC_A
TUR,Türkiye,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,3.323665082,PC_A
TKM,Turkmenistan,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,6.199999966,PC_A
TCA,Turks and Caicos Islands,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,7.251186276,PC_A
TUV,Tuvalu,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,5.660377358,PC_A
UGA,Uganda,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,4.781000293,PC_A
UKR,Ukraine,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.440981945,PC_A
ARE,United Arab Emirates,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,5.657933292,PC_A
GBR,United Kingdom,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.206520206,PC_A
CHL,Chile,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,1.792649471,PC_A
