hs_code,country,tariff_rate
330499,us,0.00
330499,jp,0.033
330499,cn,0.065
330499,de,0.065
330499,vn,0.05
330499,in,0.10
330499,au,0.05
330499,ca,0.00
330499,gb,0.065
330499,fr,0.065
841890,us,0.00
841890,jp,0.00
841890,cn,0.08
841890,vn,0.05
841890,in,0.075
940360,us,0.00
940360,jp,0.00
940360,cn,0.10
940360,vn,0.05
940360,in,0.10
611020,us,0.12
611020,jp,0.108
611020,cn,0.12
611020,vn,0.12
611020,in,0.10
